MSN,YYYYMM,Value,Column_Order,Consumption,Unit,Production
RETCBUS,201110,0.508749008178711,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201111,0.517794013023376,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201112,0.543030977249146,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201201,0.517856001853943,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201202,0.482434004545212,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201203,0.534183025360107,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201204,0.515901982784271,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201205,0.544278025627136,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201206,0.528935015201569,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201207,0.521063029766083,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201208,0.518634021282196,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201209,0.474575012922287,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201210,0.497278988361359,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201211,0.489544987678528,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201212,0.525660991668701,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201301,0.541721999645233,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201302,0.489702999591827,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201303,0.542828977108002,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201304,0.553444981575012,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201305,0.578839004039764,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201306,0.568940997123718,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201307,0.572609007358551,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201308,0.545939981937408,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201309,0.521977007389069,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201310,0.54891699552536,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201311,0.547425985336304,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201312,0.574669003486633,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201401,0.56733900308609,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201402,0.504186987876892,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201403,0.584353983402252,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201404,0.58093398809433,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201405,0.587998986244202,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201406,0.586664974689484,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201407,0.585151016712189,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201408,0.562820017337799,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201409,0.529542028903961,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201410,0.558404982089996,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201411,0.566066980361938,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201412,0.585563004016876,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201501,0.566211998462677,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201502,0.529191970825195,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201503,0.575699985027313,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201504,0.567987024784088,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201505,0.580928981304169,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201506,0.566693007946014,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201507,0.585910975933075,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201508,0.577010989189148,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201509,0.547077000141144,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201510,0.557856976985931,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201511,0.572632014751434,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201512,0.602293014526367,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201601,0.581192970275879,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201602,0.573284983634949,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201603,0.617896020412445,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201604,0.583988010883331,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201605,0.606997013092041,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201606,0.588653981685638,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201607,0.605704009532928,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201608,0.591729998588562,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201609,0.562390983104706,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201610,0.580043017864227,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201611,0.584704995155334,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201612,0.643136024475098,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201701,0.605490982532501,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201702,0.564935982227325,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201703,0.651876986026764,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201704,0.631253004074097,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201705,0.660714983940125,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201706,0.643404006958008,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201707,0.621281981468201,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201708,0.608199000358582,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201709,0.57524299621582,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201710,0.605172991752625,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201711,0.59834098815918,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201712,0.617569983005524,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201801,0.634306013584137,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201802,0.584662973880768,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201803,0.650943994522095,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201804,0.638791978359222,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201805,0.675218999385834,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201806,0.654595971107483,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201807,0.632779002189636,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201808,0.638725996017456,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201809,0.582054018974304,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201810,0.610083997249603,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201811,0.604744017124176,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201812,0.627650022506714,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201901,0.621459007263184,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201902,0.580478012561798,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201903,0.646818995475769,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201904,0.650822997093201,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201905,0.682371020317078,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201906,0.649663984775543,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201907,0.654642999172211,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201908,0.635173976421356,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201909,0.602461993694305,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201910,0.625912010669708,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201911,0.609519004821777,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201912,0.634501993656158,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202001,0.626995980739594,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202002,0.615106999874115,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202003,0.611100018024445,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202004,0.553731024265289,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202005,0.619880974292755,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202006,0.636990010738373,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202007,0.624468982219696,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202008,0.607819974422455,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202009,0.573790013790131,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202010,0.592809975147247,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202011,0.612464010715485,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202012,0.625360012054443,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202101,0.607048988342285,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202102,0.546564996242523,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202103,0.66652899980545,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202104,0.641569972038269,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202105,0.681810975074768,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202106,0.64478600025177,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202107,0.638611018657684,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202108,0.642607986927032,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202109,0.610536992549896,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202110,0.641215026378632,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202111,0.643253982067108,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202112,0.679717004299164,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202201,0.666181027889252,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202202,0.627753019332886,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202203,0.715089023113251,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202204,0.699907004833221,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202205,0.724714994430542,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202206,0.710224986076355,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202207,0.691788971424103,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202208,0.66449499130249,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202209,0.617986023426056,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202210,0.646531999111176,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202211,0.665046989917755,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202212,0.661131024360657,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202301,0.68462997674942,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202302,0.643581986427307,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202303,0.718442976474762,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202304,0.687292993068695,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202305,0.73539400100708,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202306,0.681558012962341,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202307,0.693374991416931,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202308,0.703290998935699,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202309,0.651911020278931,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202310,0.690467000007629,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202311,0.664570987224579,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202312,0.690053999423981,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202401,0.661948025226593,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202402,0.681626975536346,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202403,0.749437987804413,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,202404,0.736355006694794,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
