MSN,YYYYMM,Value,Column_Order,Production,Unit,Consumption
REPRBUS,201308,0.542609989643097,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201309,0.514218986034393,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201310,0.543689012527466,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201311,0.548475027084351,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201312,0.574711978435516,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201401,0.574319005012512,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201402,0.507326006889343,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201403,0.589693009853363,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201404,0.583144009113312,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201405,0.589776992797852,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201406,0.590788006782532,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201407,0.588697016239166,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201408,0.560100972652435,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201409,0.530781984329224,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201410,0.557456970214844,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201411,0.569676995277405,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201412,0.59382700920105,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201501,0.581001996994019,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201502,0.533487975597382,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201503,0.579816997051239,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201504,0.569898009300232,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201505,0.579137980937958,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201506,0.564673006534576,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201507,0.584483027458191,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201508,0.572777986526489,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201509,0.540123999118805,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201510,0.557166993618011,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201511,0.575787007808685,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201512,0.607572019100189,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201601,0.600004017353058,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201602,0.582467973232269,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201603,0.626931011676788,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201604,0.590484023094177,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201605,0.60987001657486,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201606,0.594461023807526,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201607,0.605123996734619,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201608,0.592158973217011,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201609,0.562995970249176,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201610,0.585196971893311,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201611,0.586983978748322,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201612,0.651737987995148,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201701,0.627928972244263,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201702,0.581035971641541,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201703,0.664710998535156,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201704,0.635896027088165,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201705,0.662077009677887,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201706,0.64310497045517,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201707,0.626343011856079,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201708,0.6129429936409,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201709,0.584631025791168,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201710,0.615445971488953,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201711,0.614560008049011,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201712,0.635918974876404,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201801,0.653150022029877,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201802,0.610036015510559,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201803,0.669313013553619,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201804,0.65725302696228,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201805,0.681427001953125,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201806,0.669471979141235,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201807,0.648661017417908,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201808,0.652675986289978,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201809,0.601408004760742,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201810,0.628690004348755,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201811,0.623898029327393,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201812,0.648213028907776,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201901,0.645529985427856,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201902,0.593795001506805,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201903,0.657711029052734,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201904,0.666642010211945,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201905,0.690669000148773,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201906,0.661827981472015,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201907,0.667694985866547,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201908,0.64835000038147,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201909,0.613803029060364,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201910,0.634265005588531,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201911,0.621354997158051,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201912,0.651174008846283,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202001,0.649110019207001,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202002,0.63288402557373,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202003,0.642360985279083,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202004,0.56138002872467,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202005,0.619029998779297,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202006,0.637875020503998,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202007,0.633731007575989,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202008,0.619355976581573,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202009,0.584297001361847,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202010,0.612748980522156,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202011,0.630734026432037,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202012,0.641695022583008,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202101,0.637387990951538,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202102,0.552929997444153,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202103,0.678058981895447,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202104,0.651233017444611,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202105,0.689525008201599,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202106,0.656848013401031,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202107,0.651269018650055,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202108,0.648898005485535,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202109,0.620766997337341,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202110,0.650143027305603,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202111,0.663619995117188,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202112,0.706622004508972,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202201,0.697542011737823,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202202,0.651867985725403,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202203,0.733177006244659,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202204,0.71247398853302,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202205,0.742761015892029,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202206,0.725585997104645,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202207,0.713249981403351,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202208,0.672499001026154,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202209,0.632741987705231,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202210,0.65920102596283,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202211,0.685824990272522,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202212,0.680415987968445,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202301,0.701848983764648,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202302,0.660061001777649,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202303,0.734660029411316,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202304,0.700046002864838,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202305,0.74098801612854,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202306,0.691937029361725,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202307,0.712222993373871,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202308,0.712240993976593,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202309,0.668522000312805,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202310,0.700600981712341,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202311,0.684585988521576,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202312,0.718623995780945,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202401,0.68307501077652,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202402,0.698670983314514,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202403,0.770834982395172,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,202404,0.750733017921448,3,Total Renewable Energy Production,Quadrillion Btu,NULL
